Konto;StandardKonto3;Kontonavn;Kontoklasse;Kontogruppe;Kontotype;SRS_regnskapslinje;AktuellFor
1250;125;IKT-utstyr og maskiner (>50k);1;12;Eiendeler;Varige driftsmidler;SRS/Alle
2050;205;Statens finansiering av anleggsmidler;2;20;Gjeld/Kapital;Statens kapital;SRS/Alle
2080;208;Avsetning ubenyttet rammebevilgning (F-05-20);2;20;Gjeld/Kapital;Avsetninger;SRS/Alle
2180;218;Mottatt forskuddsbetaling bidrag (SRS 10);2;21;Kortsiktig gjeld;Kortsiktig gjeld;SRS/Alle
2800;280;Avsetning for forventet tap på oppdrag (SRS 9);2;28;Kortsiktig gjeld;Avsetning for forpliktelser;SRS/Alle
3030;303;Salgsinntekt tjenester, avgiftspliktig;3;30;Inntekt;Salgsinntekt;SRS/Alle
3130;313;Salgsinntekt tjenester, avgiftsfri;3;31;Inntekt;Salgsinntekt;SRS/Alle
3400;340;Tilskudd fra Norges forskningsråd (SRS 10);3;34;Inntekt;Tilskudd og overføringer;SRS/Alle
3410;341;Tilskudd fra andre statlige virksomheter;3;34;Inntekt;Tilskudd og overføringer;SRS/Alle
3420;342;Tilskudd fra EU Horisont Europa (SRS 10);3;34;Inntekt;Tilskudd og overføringer;SRS/Alle
3450;345;Oppdragsinntekt fra næringsliv (SRS 9);3;34;Inntekt;Tilskudd og overføringer;SRS/Alle
3900;390;Inntekt fra statlig rammebevilgning (Kap 260);3;39;Inntekt;Inntekt fra bevilgninger;SRS/Alle
5000;500;Lønn fast ansatte;5;50;Kostnad;Lønnskostnader;SRS/Alle
5050;505;Overtid fast ansatte;5;50;Kostnad;Lønnskostnader;SRS/Alle
5080;508;Feriepenger;5;50;Kostnad;Lønnskostnader;SRS/Alle
5100;510;Lønn midlertidig ansatte;5;51;Kostnad;Lønnskostnader;SRS/Alle
5400;540;Arbeidsgiveravgift;5;54;Kostnad;Lønnskostnader;SRS/Alle
5420;542;Pensjonspremie til SPK;5;54;Kostnad;Lønnskostnader;SRS/Alle
5800;580;Refusjon av sykepenger;5;58;Kostnad;Lønnskostnader;SRS/Alle
5810;581;Refusjon av foreldrepenger;5;58;Kostnad;Lønnskostnader;SRS/Alle
6050;605;Ordinære avskrivninger IKT og utstyr (SRS 17);6;60;Kostnad;Av- og nedskrivninger;SRS/Alle
6300;630;Leie lokaler;6;63;Kostnad;Andre driftskostnader;SRS/Alle
6420;642;Leie av datasystemer og lisenser;6;64;Kostnad;Andre driftskostnader;SRS/Alle
6710;671;Konsulenttjenester programvare/IKT (FOA);6;67;Kostnad;Andre driftskostnader;SRS/Alle
6730;673;Andre konsulenttjenester (FOA del II);6;67;Kostnad;Andre driftskostnader;SRS/Alle
6740;674;Innleie av vikarer og undervisningstimer;6;67;Kostnad;Andre driftskostnader;SRS/Alle
6800;680;Kontorrekvisita og labutstyr <50k;6;68;Kostnad;Andre driftskostnader;SRS/Alle
7130;713;Reisekostnader;7;71;Kostnad;Andre driftskostnader;SRS/Alle
7790;779;Avsetning for tap på oppdragskontrakter (SRS 9);7;77;Kostnad;Andre driftskostnader;SRS/Alle
