Dato;DatoNokkel;Aar;Kvartal;MaanedNr;AarMaaned;MaanedStart
2026-01-01;20260101;2026;K1;1;2026-01;2026-01-01
2026-02-01;20260201;2026;K1;2;2026-02;2026-02-01
2026-03-01;20260301;2026;K1;3;2026-03;2026-03-01
2026-04-01;20260401;2026;K2;4;2026-04;2026-04-01
2026-05-01;20260501;2026;K2;5;2026-05;2026-05-01
2026-06-01;20260601;2026;K2;6;2026-06;2026-06-01
2026-07-01;20260701;2026;K3;7;2026-07;2026-07-01
2026-08-01;20260801;2026;K3;8;2026-08;2026-08-01
2026-09-01;20260901;2026;K3;9;2026-09;2026-09-01
2026-10-01;20261001;2026;K4;10;2026-10;2026-10-01
2026-11-01;20261101;2026;K4;11;2026-11;2026-11-01
2026-12-01;20261201;2026;K4;12;2026-12;2026-12-01
2027-01-01;20270101;2027;K1;1;2027-01;2027-01-01
2027-02-01;20270201;2027;K1;2;2027-02;2027-02-01
2027-03-01;20270301;2027;K1;3;2027-03;2027-03-01
2027-04-01;20270401;2027;K2;4;2027-04;2027-04-01
2027-05-01;20270501;2027;K2;5;2027-05;2027-05-01
2027-06-01;20270601;2027;K2;6;2027-06;2027-06-01
2027-07-01;20270701;2027;K3;7;2027-07;2027-07-01
2027-08-01;20270801;2027;K3;8;2027-08;2027-08-01
2027-09-01;20270901;2027;K3;9;2027-09;2027-09-01
2027-10-01;20271001;2027;K4;10;2027-10;2027-10-01
2027-11-01;20271101;2027;K4;11;2027-11;2027-11-01
2027-12-01;20271201;2027;K4;12;2027-12;2027-12-01
2028-01-01;20280101;2028;K1;1;2028-01;2028-01-01
2028-02-01;20280201;2028;K1;2;2028-02;2028-02-01
2028-03-01;20280301;2028;K1;3;2028-03;2028-03-01
2028-04-01;20280401;2028;K2;4;2028-04;2028-04-01
2028-05-01;20280501;2028;K2;5;2028-05;2028-05-01
2028-06-01;20280601;2028;K2;6;2028-06;2028-06-01
2028-07-01;20280701;2028;K3;7;2028-07;2028-07-01
2028-08-01;20280801;2028;K3;8;2028-08;2028-08-01
2028-09-01;20280901;2028;K3;9;2028-09;2028-09-01
2028-10-01;20281001;2028;K4;10;2028-10;2028-10-01
2028-11-01;20281101;2028;K4;11;2028-11;2028-11-01
2028-12-01;20281201;2028;K4;12;2028-12;2028-12-01
2029-01-01;20290101;2029;K1;1;2029-01;2029-01-01
2029-02-01;20290201;2029;K1;2;2029-02;2029-02-01
2029-03-01;20290301;2029;K1;3;2029-03;2029-03-01
2029-04-01;20290401;2029;K2;4;2029-04;2029-04-01
2029-05-01;20290501;2029;K2;5;2029-05;2029-05-01
2029-06-01;20290601;2029;K2;6;2029-06;2029-06-01
2029-07-01;20290701;2029;K3;7;2029-07;2029-07-01
2029-08-01;20290801;2029;K3;8;2029-08;2029-08-01
2029-09-01;20290901;2029;K3;9;2029-09;2029-09-01
2029-10-01;20291001;2029;K4;10;2029-10;2029-10-01
2029-11-01;20291101;2029;K4;11;2029-11;2029-11-01
2029-12-01;20291201;2029;K4;12;2029-12;2029-12-01
