BegrepID;Begrep;FulltNavn;Kategori;Definisjon;PraktiskTolkning;FormelDAX;RolleKontekst;RelevantRapport
1;Actual;Faktisk bokført regnskap;01 Regnskap & Sektor;Faktisk påløpte inntekter og kostnader registrert i virksomhetens hovedbok (FactGL).;Brukes som fasit for historisk ressursbruk og måles mot periodisert budsjett og prognose.;SUM(FactGL[Belop_signert]);Alle roller;08 Controller Cockpit
2;Artskonto;Standard artskonto;01 Regnskap & Sektor;Firesifret tallkode som spesifiserer transaksjonens økonomiske art iht. DFØ standard kontoplan.;Gjør det mulig å drille ned fra overordnede regnskapslinjer til spesifikke kostnadsbærere som fastlønn eller reise.;DimAccount[Konto];Controller;08 Controller Cockpit
3;Avskrivninger;Verdireduksjon anleggsmidler;01 Regnskap & Sektor;Periodisering av anskaffelseskost over driftsmidlets økonomiske levetid iht. SRS 17.;Påvirker institusjonens driftsresultat, men medfører ingen direkte likviditetsutgang i perioden.;"CALCULATE([Regnskap], DimAccount[SRS_regnskapslinje]=""Avskrivninger"")";Ledelse / Styret;03 Executive
4;Avvik YTD;Akkumulert regnskapsavvik;03 Prognose & Avvik;Differansen mellom akkumulert regnskap og akkumulert periodisert budsjett fra januar til nå.;Negativt fortegn på kostnader betyr mindreforbruk (gunstig), mens positivt betyr merforbruk (ugunstig).;[Regnskap YTD] - [Budsjett YTD];Alle roller;08 Controller Cockpit
5;Avvik YTD RAG Status;RAG-status regnskapsavvik;07 RAG & Farger;Trafikklysindikator for akkumulert avvik målt mot budsjett.;Rød hvis merforbruk > 5%, Gul ved 2-5%, Grønn ved <= 2% avvik.;"SWITCH(TRUE(), [Avvik YTD %] > 0.05, ""🔴 Rød (>5%)"", [Avvik YTD %] >= 0.02, ""🟡 Gul (2-5%)"", ""🟢 Grønn (<=2%)"")";Controller / Dekan;08 Controller Cockpit
6;BAC;Budget at Completion;02 Prosjektcontrolling (EVM);Den opprinnelige vedtatte totale kostnadsrammen for prosjektet eller regnskapsåret.;Utgjør referansegrunnlaget (baseline) som all fremdrift og sluttkostnad måles mot.;[Aarsbudsjett];Project Controller / Dekan;DT Prosjekt EVM
7;Bevilgningsinntekt;Statlig rammebevilgning;01 Regnskap & Sektor;Ordinær bevilgning fra Kunnskapsdepartementet over statsbudsjettets Post 50.;Periodiseres etter SRS 10 slik at inntekt inntektsføres i takt med virksomhetens påløpte kostnader.;"CALCULATE(-[Regnskap], DimAccount[Konto] IN {""3000"",""3010"",""3020"",""3030""})";Styret / Ledelse;04 Styret
8;BFV;Bevilgningsfinansiert virksomhet;01 Regnskap & Sektor;Institusjonens kjerneaktivitet (undervisning og grunnforskning) dekket av statstilskuddet.;Krever stram rammeoppfølging fordi statstilskuddet har et fast tak som ikke kan overskrides.;"DimProject[Finansieringstype] = ""Drift""";Alle roller;03 Executive
9;Bidrag;Bidragsforskning;01 Regnskap & Sektor;Eksternfinansierte prosjekter hvor finansieringskilden ikke krever en kommersiell motytelse.;Typiske bidragsytere er Norges forskningsråd og EU,  inntektsføres i takt med fremdrift etter SRS 11.;"DimProject[Finansieringstype] = ""Bidrag""";Forskningsledelse;05 Forskning & BOA
10;BOA;Bidrags- og oppdragsfinansiert aktivitet;01 Regnskap & Sektor;Samlet betegnelse på all eksternt finansiert forskning, utvikling og oppdragsvirksomhet.;Viktig strategisk vekstområde som øker institusjonens faglige volum og finansielle handlingsrom.;[BOA inntekter];Forskningsledelse;05 Forskning & BOA
