DatoNokkel;Organisasjonsnokkel;Konto;Prosjekt;BudsjettBelop;Scenario
20260101;I001K1;5000;DRIFT;460000.0;BUD2026
20260101;I001K1;5400;DRIFT;64860.0;BUD2026
20260101;I001K1;6300;DRIFT;85000.0;BUD2026
20260101;I001K1;3900;DRIFT;-650000.0;BUD2026
20260101;I001K2;5100;NFR001;90000.0;BUD2026
20260101;I001K2;3400;NFR001;-90000.0;BUD2026
20260101;I002K1;5000;DRIFT;460000.0;BUD2026
20260101;I002K1;5400;DRIFT;64860.0;BUD2026
20260101;I002K1;6300;DRIFT;85000.0;BUD2026
20260101;I002K1;3900;DRIFT;-650000.0;BUD2026
20260101;I002K2;5100;NFR001;90000.0;BUD2026
20260101;I002K2;3400;NFR001;-90000.0;BUD2026
20260101;I004K1;5000;DRIFT;460000.0;BUD2026
20260101;I004K1;5400;DRIFT;64860.0;BUD2026
20260101;I004K1;6300;DRIFT;85000.0;BUD2026
20260101;I004K1;3900;DRIFT;-650000.0;BUD2026
20260101;I004K2;5100;NFR001;90000.0;BUD2026
20260101;I004K2;3400;NFR001;-90000.0;BUD2026
20260101;I007K1;5000;DRIFT;460000.0;BUD2026
20260101;I007K1;5400;DRIFT;64860.0;BUD2026
20260101;I007K1;6300;DRIFT;85000.0;BUD2026
20260101;I007K1;3900;DRIFT;-650000.0;BUD2026
20260101;I007K2;5100;NFR001;90000.0;BUD2026
20260101;I007K2;3400;NFR001;-90000.0;BUD2026
20260101;I013K1;5000;DRIFT;460000.0;BUD2026
20260101;I013K1;5400;DRIFT;64860.0;BUD2026
20260101;I013K1;6300;DRIFT;85000.0;BUD2026
20260101;I013K1;3900;DRIFT;-650000.0;BUD2026
20260101;I013K2;5100;NFR001;90000.0;BUD2026
20260101;I013K2;3400;NFR001;-90000.0;BUD2026
20260101;I014K1;5000;DRIFT;460000.0;BUD2026
20260101;I014K1;5400;DRIFT;64860.0;BUD2026
20260101;I014K1;6300;DRIFT;85000.0;BUD2026
20260101;I014K1;3900;DRIFT;-650000.0;BUD2026
20260101;I014K2;5100;NFR001;90000.0;BUD2026
20260101;I014K2;3400;NFR001;-90000.0;BUD2026
20260101;I016K1;5000;DRIFT;460000.0;BUD2026
20260101;I016K1;5400;DRIFT;64860.0;BUD2026
20260101;I016K1;6300;DRIFT;85000.0;BUD2026
20260101;I016K1;3900;DRIFT;-650000.0;BUD2026
20260101;I016K2;5100;NFR001;90000.0;BUD2026
20260101;I016K2;3400;NFR001;-90000.0;BUD2026
20260101;I017K1;5000;DRIFT;460000.0;BUD2026
20260101;I017K1;5400;DRIFT;64860.0;BUD2026
20260101;I017K1;6300;DRIFT;85000.0;BUD2026
20260101;I017K1;3900;DRIFT;-650000.0;BUD2026
20260101;I017K2;5100;NFR001;90000.0;BUD2026
20260101;I017K2;3400;NFR001;-90000.0;BUD2026
20260101;I019K1;5000;DRIFT;460000.0;BUD2026
20260101;I019K1;5400;DRIFT;64860.0;BUD2026
20260101;I019K1;6300;DRIFT;85000.0;BUD2026
20260101;I019K1;3900;DRIFT;-650000.0;BUD2026
20260101;I020K1;5000;DRIFT;460000.0;BUD2026
20260101;I020K1;5400;DRIFT;64860.0;BUD2026
20260101;I020K1;6300;DRIFT;85000.0;BUD2026
20260101;I020K1;3900;DRIFT;-650000.0;BUD2026
20260201;I001K1;5000;DRIFT;460000.0;BUD2026
20260201;I001K1;5400;DRIFT;64860.0;BUD2026
20260201;I001K1;6300;DRIFT;85000.0;BUD2026
20260201;I001K1;3900;DRIFT;-650000.0;BUD2026
20260201;I001K2;5100;NFR001;90000.0;BUD2026
20260201;I001K2;3400;NFR001;-90000.0;BUD2026
20260201;I002K1;5000;DRIFT;460000.0;BUD2026
20260201;I002K1;5400;DRIFT;64860.0;BUD2026
20260201;I002K1;6300;DRIFT;85000.0;BUD2026
20260201;I002K1;3900;DRIFT;-650000.0;BUD2026
20260201;I002K2;5100;NFR001;90000.0;BUD2026
20260201;I002K2;3400;NFR001;-90000.0;BUD2026
20260201;I004K1;5000;DRIFT;460000.0;BUD2026
20260201;I004K1;5400;DRIFT;64860.0;BUD2026
20260201;I004K1;6300;DRIFT;85000.0;BUD2026
20260201;I004K1;3900;DRIFT;-650000.0;BUD2026
20260201;I004K2;5100;NFR001;90000.0;BUD2026
20260201;I004K2;3400;NFR001;-90000.0;BUD2026
20260201;I007K1;5000;DRIFT;460000.0;BUD2026
20260201;I007K1;5400;DRIFT;64860.0;BUD2026
20260201;I007K1;6300;DRIFT;85000.0;BUD2026
20260201;I007K1;3900;DRIFT;-650000.0;BUD2026
20260201;I007K2;5100;NFR001;90000.0;BUD2026
20260201;I007K2;3400;NFR001;-90000.0;BUD2026
20260201;I013K1;5000;DRIFT;460000.0;BUD2026
20260201;I013K1;5400;DRIFT;64860.0;BUD2026
20260201;I013K1;6300;DRIFT;85000.0;BUD2026
20260201;I013K1;3900;DRIFT;-650000.0;BUD2026
20260201;I013K2;5100;NFR001;90000.0;BUD2026
20260201;I013K2;3400;NFR001;-90000.0;BUD2026
20260201;I014K1;5000;DRIFT;460000.0;BUD2026
20260201;I014K1;5400;DRIFT;64860.0;BUD2026
20260201;I014K1;6300;DRIFT;85000.0;BUD2026
20260201;I014K1;3900;DRIFT;-650000.0;BUD2026
20260201;I014K2;5100;NFR001;90000.0;BUD2026
20260201;I014K2;3400;NFR001;-90000.0;BUD2026
20260201;I016K1;5000;DRIFT;460000.0;BUD2026
20260201;I016K1;5400;DRIFT;64860.0;BUD2026
20260201;I016K1;6300;DRIFT;85000.0;BUD2026
20260201;I016K1;3900;DRIFT;-650000.0;BUD2026
20260201;I016K2;5100;NFR001;90000.0;BUD2026
20260201;I016K2;3400;NFR001;-90000.0;BUD2026
20260201;I017K1;5000;DRIFT;460000.0;BUD2026
20260201;I017K1;5400;DRIFT;64860.0;BUD2026
20260201;I017K1;6300;DRIFT;85000.0;BUD2026
20260201;I017K1;3900;DRIFT;-650000.0;BUD2026
20260201;I017K2;5100;NFR001;90000.0;BUD2026
20260201;I017K2;3400;NFR001;-90000.0;BUD2026
20260201;I019K1;5000;DRIFT;460000.0;BUD2026
20260201;I019K1;5400;DRIFT;64860.0;BUD2026
20260201;I019K1;6300;DRIFT;85000.0;BUD2026
20260201;I019K1;3900;DRIFT;-650000.0;BUD2026
20260201;I020K1;5000;DRIFT;460000.0;BUD2026
20260201;I020K1;5400;DRIFT;64860.0;BUD2026
20260201;I020K1;6300;DRIFT;85000.0;BUD2026
20260201;I020K1;3900;DRIFT;-650000.0;BUD2026
20260301;I001K1;5000;DRIFT;460000.0;BUD2026
20260301;I001K1;5400;DRIFT;64860.0;BUD2026
20260301;I001K1;6300;DRIFT;85000.0;BUD2026
20260301;I001K1;3900;DRIFT;-650000.0;BUD2026
20260301;I001K2;5100;NFR001;90000.0;BUD2026
20260301;I001K2;3400;NFR001;-90000.0;BUD2026
20260301;I002K1;5000;DRIFT;460000.0;BUD2026
20260301;I002K1;5400;DRIFT;64860.0;BUD2026
20260301;I002K1;6300;DRIFT;85000.0;BUD2026
20260301;I002K1;3900;DRIFT;-650000.0;BUD2026
20260301;I002K2;5100;NFR001;90000.0;BUD2026
20260301;I002K2;3400;NFR001;-90000.0;BUD2026
20260301;I004K1;5000;DRIFT;460000.0;BUD2026
