DatoNokkel;Organisasjonsnokkel;Stillingsgruppe;Aarsverk;FagligeAarsverk;Scenario
20260101;I001K1;PROF;7.73;7.73;Actual
20260101;I001K1;FORST;12.01;12.01;Actual
20260101;I001K1;REKR;4.67;4.67;Actual
20260101;I001K1;ADM;12.03;0.0;Actual
20260101;I001K1;TEK;3.54;0.0;Actual
20260201;I001K1;PROF;7.72;7.72;Actual
20260201;I001K1;FORST;12.1;12.1;Actual
20260201;I001K1;REKR;4.9;4.9;Actual
20260201;I001K1;ADM;12.07;0.0;Actual
20260201;I001K1;TEK;3.56;0.0;Actual
20260301;I001K1;PROF;7.75;7.75;Actual
20260301;I001K1;FORST;12.15;12.15;Actual
20260301;I001K1;REKR;4.83;4.83;Actual
20260301;I001K1;ADM;11.73;0.0;Actual
20260301;I001K1;TEK;3.67;0.0;Actual
20260401;I001K1;PROF;7.77;7.77;Actual
20260401;I001K1;FORST;12.07;12.07;Actual
20260401;I001K1;REKR;4.87;4.87;Actual
20260401;I001K1;ADM;11.98;0.0;Actual
20260401;I001K1;TEK;3.69;0.0;Actual
20260501;I001K1;PROF;7.58;7.58;Actual
20260501;I001K1;FORST;11.99;11.99;Actual
20260501;I001K1;REKR;4.86;4.86;Actual
20260501;I001K1;ADM;12.33;0.0;Actual
20260501;I001K1;TEK;3.69;0.0;Actual
20260601;I001K1;PROF;7.71;7.71;Actual
20260601;I001K1;FORST;12.19;12.19;Actual
20260601;I001K1;REKR;4.95;4.95;Actual
20260601;I001K1;ADM;11.87;0.0;Actual
20260601;I001K1;TEK;3.59;0.0;Actual
20260701;I001K1;PROF;7.7;7.7;Actual
20260701;I001K1;FORST;11.83;11.83;Actual
20260701;I001K1;REKR;4.76;4.76;Actual
20260701;I001K1;ADM;11.75;0.0;Actual
20260701;I001K1;TEK;3.64;0.0;Actual
20260801;I001K1;PROF;7.55;7.55;Actual
20260801;I001K1;FORST;12.38;12.38;Actual
20260801;I001K1;REKR;4.95;4.95;Actual
20260801;I001K1;ADM;12.36;0.0;Actual
20260801;I001K1;TEK;3.56;0.0;Actual
20260901;I001K1;PROF;7.73;7.73;Actual
20260901;I001K1;FORST;12.23;12.23;Actual
20260901;I001K1;REKR;4.91;4.91;Actual
20260901;I001K1;ADM;12.08;0.0;Actual
20260901;I001K1;TEK;3.61;0.0;Actual
20261001;I001K1;PROF;7.7;7.7;Actual
20261001;I001K1;FORST;12.01;12.01;Actual
20261001;I001K1;REKR;4.74;4.74;Actual
20261001;I001K1;ADM;11.75;0.0;Actual
20261001;I001K1;TEK;3.65;0.0;Actual
20261101;I001K1;PROF;7.58;7.58;Actual
20261101;I001K1;FORST;12.15;12.15;Actual
20261101;I001K1;REKR;4.77;4.77;Actual
20261101;I001K1;ADM;11.87;0.0;Actual
20261101;I001K1;TEK;3.71;0.0;Actual
20261201;I001K1;PROF;7.62;7.62;Actual
20261201;I001K1;FORST;12.17;12.17;Actual
20261201;I001K1;REKR;4.77;4.77;Actual
20261201;I001K1;ADM;11.76;0.0;Actual
20261201;I001K1;TEK;3.7;0.0;Actual
20260101;I002K1;PROF;10.69;10.69;Actual
20260101;I002K1;FORST;17.16;17.16;Actual
20260101;I002K1;REKR;6.65;6.65;Actual
20260101;I002K1;ADM;17.11;0.0;Actual
20260101;I002K1;TEK;4.94;0.0;Actual
20260201;I002K1;PROF;10.95;10.95;Actual
20260201;I002K1;FORST;16.37;16.37;Actual
20260201;I002K1;REKR;6.81;6.81;Actual
20260201;I002K1;ADM;17.25;0.0;Actual
20260201;I002K1;TEK;5.05;0.0;Actual
20260301;I002K1;PROF;10.83;10.83;Actual
20260301;I002K1;FORST;17.08;17.08;Actual
20260301;I002K1;REKR;6.86;6.86;Actual
20260301;I002K1;ADM;16.82;0.0;Actual
20260301;I002K1;TEK;5.2;0.0;Actual
20260401;I002K1;PROF;10.61;10.61;Actual
20260401;I002K1;FORST;16.43;16.43;Actual
20260401;I002K1;REKR;6.81;6.81;Actual
20260401;I002K1;ADM;16.45;0.0;Actual
20260401;I002K1;TEK;5.2;0.0;Actual
20260501;I002K1;PROF;10.82;10.82;Actual
20260501;I002K1;FORST;17.2;17.2;Actual
20260501;I002K1;REKR;6.93;6.93;Actual
20260501;I002K1;ADM;16.53;0.0;Actual
20260501;I002K1;TEK;5.18;0.0;Actual
20260601;I002K1;PROF;10.52;10.52;Actual
20260601;I002K1;FORST;16.88;16.88;Actual
20260601;I002K1;REKR;6.8;6.8;Actual
20260601;I002K1;ADM;17.3;0.0;Actual
20260601;I002K1;TEK;5.15;0.0;Actual
20260701;I002K1;PROF;10.55;10.55;Actual
20260701;I002K1;FORST;16.93;16.93;Actual
20260701;I002K1;REKR;6.57;6.57;Actual
20260701;I002K1;ADM;16.7;0.0;Actual
20260701;I002K1;TEK;5.14;0.0;Actual
20260801;I002K1;PROF;10.53;10.53;Actual
20260801;I002K1;FORST;16.4;16.4;Actual
20260801;I002K1;REKR;6.78;6.78;Actual
20260801;I002K1;ADM;16.65;0.0;Actual
20260801;I002K1;TEK;5.16;0.0;Actual
20260901;I002K1;PROF;10.41;10.41;Actual
20260901;I002K1;FORST;16.51;16.51;Actual
20260901;I002K1;REKR;6.54;6.54;Actual
20260901;I002K1;ADM;16.42;0.0;Actual
20260901;I002K1;TEK;5.19;0.0;Actual
20261001;I002K1;PROF;10.65;10.65;Actual
20261001;I002K1;FORST;16.74;16.74;Actual
20261001;I002K1;REKR;6.74;6.74;Actual
20261001;I002K1;ADM;17.0;0.0;Actual
20261001;I002K1;TEK;5.16;0.0;Actual
20261101;I002K1;PROF;10.39;10.39;Actual
20261101;I002K1;FORST;16.42;16.42;Actual
20261101;I002K1;REKR;6.75;6.75;Actual
20261101;I002K1;ADM;17.14;0.0;Actual
20261101;I002K1;TEK;5.03;0.0;Actual
20261201;I002K1;PROF;10.88;10.88;Actual
20261201;I002K1;FORST;16.98;16.98;Actual
20261201;I002K1;REKR;6.72;6.72;Actual
20261201;I002K1;ADM;16.88;0.0;Actual
20261201;I002K1;TEK;5.2;0.0;Actual
20260101;I003K1;PROF;10.62;10.62;Actual
20260101;I003K1;FORST;17.35;17.35;Actual
20260101;I003K1;REKR;6.63;6.63;Actual
20260101;I003K1;ADM;16.98;0.0;Actual
20260101;I003K1;TEK;5.12;0.0;Actual
20260201;I003K1;PROF;11.06;11.06;Actual
20260201;I003K1;FORST;16.76;16.76;Actual
20260201;I003K1;REKR;6.78;6.78;Actual
20260201;I003K1;ADM;17.3;0.0;Actual
20260201;I003K1;TEK;5.19;0.0;Actual
20260301;I003K1;PROF;10.61;10.61;Actual
20260301;I003K1;FORST;16.66;16.66;Actual
20260301;I003K1;REKR;6.89;6.89;Actual
20260301;I003K1;ADM;17.36;0.0;Actual
20260301;I003K1;TEK;5.01;0.0;Actual
20260401;I003K1;PROF;10.7;10.7;Actual
20260401;I003K1;FORST;17.14;17.14;Actual
20260401;I003K1;REKR;6.75;6.75;Actual
20260401;I003K1;ADM;17.15;0.0;Actual
20260401;I003K1;TEK;5.02;0.0;Actual
20260501;I003K1;PROF;10.91;10.91;Actual
20260501;I003K1;FORST;16.92;16.92;Actual
20260501;I003K1;REKR;6.63;6.63;Actual
20260501;I003K1;ADM;17.08;0.0;Actual
20260501;I003K1;TEK;4.99;0.0;Actual
20260601;I003K1;PROF;10.77;10.77;Actual
20260601;I003K1;FORST;16.45;16.45;Actual
20260601;I003K1;REKR;6.68;6.68;Actual
20260601;I003K1;ADM;16.96;0.0;Actual
20260601;I003K1;TEK;5.09;0.0;Actual
20260701;I003K1;PROF;10.77;10.77;Actual
20260701;I003K1;FORST;16.7;16.7;Actual
20260701;I003K1;REKR;6.75;6.75;Actual
20260701;I003K1;ADM;16.84;0.0;Actual
20260701;I003K1;TEK;5.07;0.0;Actual
20260801;I003K1;PROF;10.6;10.6;Actual
20260801;I003K1;FORST;17.2;17.2;Actual
20260801;I003K1;REKR;6.76;6.76;Actual
20260801;I003K1;ADM;16.53;0.0;Actual
20260801;I003K1;TEK;5.09;0.0;Actual
20260901;I003K1;PROF;10.97;10.97;Actual
20260901;I003K1;FORST;16.88;16.88;Actual
20260901;I003K1;REKR;6.88;6.88;Actual
20260901;I003K1;ADM;16.48;0.0;Actual
20260901;I003K1;TEK;4.99;0.0;Actual
20261001;I003K1;PROF;10.71;10.71;Actual
20261001;I003K1;FORST;17.35;17.35;Actual
20261001;I003K1;REKR;6.8;6.8;Actual
20261001;I003K1;ADM;17.08;0.0;Actual
20261001;I003K1;TEK;5.07;0.0;Actual
20261101;I003K1;PROF;11.03;11.03;Actual
20261101;I003K1;FORST;17.07;17.07;Actual
20261101;I003K1;REKR;6.83;6.83;Actual
20261101;I003K1;ADM;17.32;0.0;Actual
20261101;I003K1;TEK;5.03;0.0;Actual
20261201;I003K1;PROF;10.44;10.44;Actual
20261201;I003K1;FORST;16.88;16.88;Actual
20261201;I003K1;REKR;6.9;6.9;Actual
20261201;I003K1;ADM;16.56;0.0;Actual
20261201;I003K1;TEK;5.09;0.0;Actual
20260101;I004K1;PROF;9.05;9.05;Actual
20260101;I004K1;FORST;14.08;14.08;Actual
20260101;I004K1;REKR;5.67;5.67;Actual
20260101;I004K1;ADM;14.22;0.0;Actual
20260101;I004K1;TEK;4.23;0.0;Actual
20260201;I004K1;PROF;9.44;9.44;Actual
20260201;I004K1;FORST;14.15;14.15;Actual
20260201;I004K1;REKR;5.67;5.67;Actual
20260201;I004K1;ADM;14.41;0.0;Actual
20260201;I004K1;TEK;4.32;0.0;Actual
20260301;I004K1;PROF;9.31;9.31;Actual
20260301;I004K1;FORST;14.41;14.41;Actual
20260301;I004K1;REKR;5.74;5.74;Actual
20260301;I004K1;ADM;14.3;0.0;Actual
20260301;I004K1;TEK;4.44;0.0;Actual
20260401;I004K1;PROF;9.36;9.36;Actual
20260401;I004K1;FORST;14.73;14.73;Actual
20260401;I004K1;REKR;5.83;5.83;Actual
20260401;I004K1;ADM;14.13;0.0;Actual
20260401;I004K1;TEK;4.24;0.0;Actual
20260501;I004K1;PROF;9.34;9.34;Actual
20260501;I004K1;FORST;14.88;14.88;Actual
20260501;I004K1;REKR;5.82;5.82;Actual
20260501;I004K1;ADM;14.55;0.0;Actual
20260501;I004K1;TEK;4.43;0.0;Actual
20260601;I004K1;PROF;9.34;9.34;Actual
20260601;I004K1;FORST;14.39;14.39;Actual
20260601;I004K1;REKR;5.79;5.79;Actual
20260601;I004K1;ADM;14.66;0.0;Actual
20260601;I004K1;TEK;4.33;0.0;Actual
20260701;I004K1;PROF;8.99;8.99;Actual
20260701;I004K1;FORST;14.44;14.44;Actual
20260701;I004K1;REKR;5.65;5.65;Actual
20260701;I004K1;ADM;14.06;0.0;Actual
20260701;I004K1;TEK;4.38;0.0;Actual
20260801;I004K1;PROF;9.24;9.24;Actual
20260801;I004K1;FORST;14.36;14.36;Actual
20260801;I004K1;REKR;5.82;5.82;Actual
20260801;I004K1;ADM;14.76;0.0;Actual
20260801;I004K1;TEK;4.22;0.0;Actual
20260901;I004K1;PROF;9.16;9.16;Actual
20260901;I004K1;FORST;14.21;14.21;Actual
20260901;I004K1;REKR;5.92;5.92;Actual
20260901;I004K1;ADM;14.89;0.0;Actual
20260901;I004K1;TEK;4.37;0.0;Actual
20261001;I004K1;PROF;9.26;9.26;Actual
20261001;I004K1;FORST;14.09;14.09;Actual
20261001;I004K1;REKR;5.77;5.77;Actual
20261001;I004K1;ADM;14.55;0.0;Actual
20261001;I004K1;TEK;4.45;0.0;Actual
20261101;I004K1;PROF;9.22;9.22;Actual
20261101;I004K1;FORST;14.06;14.06;Actual
20261101;I004K1;REKR;5.8;5.8;Actual
20261101;I004K1;ADM;14.73;0.0;Actual
20261101;I004K1;TEK;4.4;0.0;Actual
20261201;I004K1;PROF;9.23;9.23;Actual
20261201;I004K1;FORST;14.45;14.45;Actual
20261201;I004K1;REKR;5.71;5.71;Actual
20261201;I004K1;ADM;14.58;0.0;Actual
20261201;I004K1;TEK;4.28;0.0;Actual
20260101;I005K1;PROF;12.21;12.21;Actual
20260101;I005K1;FORST;19.84;19.84;Actual
20260101;I005K1;REKR;7.94;7.94;Actual
20260101;I005K1;ADM;19.29;0.0;Actual
20260101;I005K1;TEK;6.04;0.0;Actual
20260201;I005K1;PROF;12.56;12.56;Actual
20260201;I005K1;FORST;19.39;19.39;Actual
20260201;I005K1;REKR;8.03;8.03;Actual
20260201;I005K1;ADM;19.31;0.0;Actual
20260201;I005K1;TEK;5.72;0.0;Actual
20260301;I005K1;PROF;12.12;12.12;Actual
20260301;I005K1;FORST;19.71;19.71;Actual
20260301;I005K1;REKR;7.74;7.74;Actual
20260301;I005K1;ADM;19.56;0.0;Actual
20260301;I005K1;TEK;5.92;0.0;Actual
20260401;I005K1;PROF;12.53;12.53;Actual
20260401;I005K1;FORST;19.22;19.22;Actual
20260401;I005K1;REKR;7.71;7.71;Actual
20260401;I005K1;ADM;20.2;0.0;Actual
20260401;I005K1;TEK;5.72;0.0;Actual
20260501;I005K1;PROF;12.58;12.58;Actual
20260501;I005K1;FORST;19.88;19.88;Actual
20260501;I005K1;REKR;7.78;7.78;Actual
20260501;I005K1;ADM;19.96;0.0;Actual
20260501;I005K1;TEK;5.79;0.0;Actual
20260601;I005K1;PROF;12.7;12.7;Actual
20260601;I005K1;FORST;19.91;19.91;Actual
20260601;I005K1;REKR;8.0;8.0;Actual
20260601;I005K1;ADM;19.32;0.0;Actual
20260601;I005K1;TEK;5.93;0.0;Actual
