DatoNokkel;Organisasjonsnokkel;Konto;Prosjekt;ForecastBelop;Versjon;Sannsynlighet;Modelltype;Merknad
20260101;I001K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I001K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I001K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I001K1;3900;DRIFT;-663000.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I001K2;5100;NFR001;91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I001K2;3400;NFR001;-91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I002K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I002K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I002K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I002K1;3900;DRIFT;-663000.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I002K2;5100;NFR001;91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I002K2;3400;NFR001;-91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I004K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I004K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I004K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I004K1;3900;DRIFT;-663000.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I004K2;5100;NFR001;91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I004K2;3400;NFR001;-91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I007K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I007K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I007K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I007K1;3900;DRIFT;-663000.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I007K2;5100;NFR001;91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I007K2;3400;NFR001;-91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I013K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I013K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I013K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I013K1;3900;DRIFT;-663000.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I013K2;5100;NFR001;91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I013K2;3400;NFR001;-91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I014K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I014K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I014K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I014K1;3900;DRIFT;-663000.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I014K2;5100;NFR001;91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I014K2;3400;NFR001;-91800.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I016K1;5000;DRIFT;469200.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I016K1;5400;DRIFT;66157.2;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
20260101;I016K1;6300;DRIFT;86700.0;FC1_2026;0.75;Ridge Regression;Kalibrert UiA Rullende Prognose
