DatoNokkel;Organisasjonsnokkel;Konto;Prosjekt;Belop;Tekst;TransaksjonsID;UseCasesRef
20260101;I001K1;5000;DRIFT;471905.0;Månedslønn faste ansatte;TX10001;Lønn/Drift
20260101;I001K1;5400;DRIFT;66538.6;Arbeidsgiveravgift;TX10002;Lønn/Drift
20260101;I001K1;5420;DRIFT;47190.5;Pensjonspremie SPK;TX10003;Lønn/Drift
20260101;I001K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10004;Drift/Lokaler
20260101;I001K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10005;Drift/IKT
20260101;I001K1;7130;DRIFT;8648.0;Reise og diett;TX10006;Drift/Reise
20260101;I001K2;5100;EU001;74647.29999999999;Prosjektlønn forsker/stipendiat;TX10007;BOA/Lønn
20260101;I001K2;6800;EU001;31991.699999999997;Prosjektdrift og laboratoriemateriell;TX10008;BOA/Drift
20260101;I001K2;3420;EU001;-106639.0;SRS 10 Inntektsføring bidrag;TX10009;Use Case 2: SRS 10 Motsatt sammenstilling
20260101;I001K2;2180;EU001;106639.0;Reduksjon mottatt forskuddsbetaling bidrag;TX10010;Use Case 2: SRS 10 Balanse
20260101;I002K1;5000;DRIFT;478598.0;Månedslønn faste ansatte;TX10011;Lønn/Drift
20260101;I002K1;5400;DRIFT;67482.32;Arbeidsgiveravgift;TX10012;Lønn/Drift
20260101;I002K1;5420;DRIFT;47859.8;Pensjonspremie SPK;TX10013;Lønn/Drift
20260101;I002K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10014;Drift/Lokaler
20260101;I002K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10015;Drift/IKT
20260101;I002K1;7130;DRIFT;14012.0;Reise og diett;TX10016;Drift/Reise
20260101;I002K2;5100;EVU001;84734.29999999999;Prosjektlønn forsker/stipendiat;TX10017;BOA/Lønn
20260101;I002K2;6800;EVU001;36314.7;Prosjektdrift og laboratoriemateriell;TX10018;BOA/Drift
20260101;I002K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10019;Use Case 3: SRS 9 Inntekt
20260101;I004K1;5000;DRIFT;444628.0;Månedslønn faste ansatte;TX10020;Lønn/Drift
20260101;I004K1;5400;DRIFT;62692.55;Arbeidsgiveravgift;TX10021;Lønn/Drift
20260101;I004K1;5420;DRIFT;44462.8;Pensjonspremie SPK;TX10022;Lønn/Drift
20260101;I004K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10023;Drift/Lokaler
20260101;I004K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10024;Drift/IKT
20260101;I004K1;7130;DRIFT;9572.0;Reise og diett;TX10025;Drift/Reise
20260101;I004K1;5050;DRIFT;59132.0;Overtid praksisoppfølging;TX10026;Use Case 6: Overtid/Sykdom
20260101;I004K2;5100;EVU001;78201.9;Prosjektlønn forsker/stipendiat;TX10027;BOA/Lønn
20260101;I004K2;6800;EVU001;33515.1;Prosjektdrift og laboratoriemateriell;TX10028;BOA/Drift
20260101;I004K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10029;Use Case 3: SRS 9 Inntekt
20260101;I007K1;5000;DRIFT;474348.0;Månedslønn faste ansatte;TX10030;Lønn/Drift
20260101;I007K1;5400;DRIFT;66883.07;Arbeidsgiveravgift;TX10031;Lønn/Drift
20260101;I007K1;5420;DRIFT;47434.8;Pensjonspremie SPK;TX10032;Lønn/Drift
20260101;I007K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10033;Drift/Lokaler
20260101;I007K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10034;Drift/IKT
20260101;I007K1;7130;DRIFT;22870.0;Reise og diett;TX10035;Drift/Reise
20260101;I007K2;5100;EVU001;77487.9;Prosjektlønn forsker/stipendiat;TX10036;BOA/Lønn
20260101;I007K2;6800;EVU001;33209.1;Prosjektdrift og laboratoriemateriell;TX10037;BOA/Drift
20260101;I007K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10038;Use Case 3: SRS 9 Inntekt
20260101;I013K1;5000;DRIFT;468698.0;Månedslønn faste ansatte;TX10039;Lønn/Drift
20260101;I013K1;5400;DRIFT;66086.42;Arbeidsgiveravgift;TX10040;Lønn/Drift
20260101;I013K1;5420;DRIFT;46869.8;Pensjonspremie SPK;TX10041;Lønn/Drift
20260101;I013K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10042;Drift/Lokaler
20260101;I013K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10043;Drift/IKT
20260101;I013K1;7130;DRIFT;18825.0;Reise og diett;TX10044;Drift/Reise
20260101;I013K2;5100;EVU001;74957.4;Prosjektlønn forsker/stipendiat;TX10045;BOA/Lønn
20260101;I013K2;6800;EVU001;32124.6;Prosjektdrift og laboratoriemateriell;TX10046;BOA/Drift
20260101;I013K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10047;Use Case 3: SRS 9 Inntekt
20260101;I014K1;5000;DRIFT;431952.0;Månedslønn faste ansatte;TX10048;Lønn/Drift
