DatoNokkel;Organisasjonsnokkel;Studieprogram;Studiekategori;RegistrerteStudenter;PlanlagteStudiepoeng;AvlagteStudiepoeng;SPE60;BestattAndel;SatsPerSPE60;BeregnetInntekt
20260101;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260101;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260101;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260101;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260101;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260101;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260101;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260101;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260101;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260201;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260201;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260201;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260201;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260201;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260201;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260201;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260201;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260201;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260301;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260301;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260301;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260301;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260301;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260301;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260301;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260301;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260301;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260401;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260401;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260401;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260401;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260401;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260401;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260401;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260401;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260401;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260501;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260501;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260501;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260501;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260501;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260501;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260501;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260501;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260501;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260601;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
