MndNr;Maaned;StatligBevilgning;Forskningsinntekter;AndreInntekter;Lonnskostnader;Driftskostnader;InvesteringerCapex;PlanlagtVerdi_PV;OpptjentVerdi_EV;FaktiskKostnad_AC;TotalInntekt;TotalKostnad;NettoResultat;Kumulativ_Inntekt;Kumulativ_Kostnad;Kumulativ_PV;Kumulativ_EV;Kumulativ_AC;Kumulativ_CPI;Kumulativ_SPI;Kumulativ_CV;Kumulativ_SV
1;Januar;102,8;8,5;5,8;76,5;27,5;10,5;121,0;111,0;114,5;117,1;114,5;2,6;117,1;114,5;121,0;111,0;114,5;0,969;0,917;-3,5;-10,0
2;Februar;102,8;9,2;7,5;77,0;26,5;11,0;122,0;112,0;114,5;119,5;114,5;5,0;236,6;229,0;243,0;223,0;229,0;0,974;0,918;-6,0;-20,0
3;Mars;102,8;10,1;6,2;78,5;30,0;12,5;128,0;118,0;121,0;119,1;121,0;-1,9;355,7;350,0;371,0;341,0;350,0;0,974;0,919;-9,0;-30,0
4;April;102,8;10,5;6,4;78,0;28,5;13,0;127,0;117,0;119,5;119,7;119,5;0,2;475,4;469,5;498,0;458,0;469,5;0,976;0,92;-11,5;-40,0
5;Mai;102,9;11,2;6,5;79,5;30,5;14,0;131,0;120,0;124,0;120,6;124,0;-3,4;596,0;593,5;629,0;578,0;593,5;0,974;0,919;-15,5;-51,0
6;Juni;102,9;11,5;6,8;116,0;33,0;16,0;145,0;133,0;165,0;121,2;165,0;-43,8;717,2;758,5;774,0;711,0;758,5;0,937;0,919;-47,5;-63,0
7;Juli;102,8;6,2;4,2;60,5;20,0;9,0;95,0;88,0;89,5;113,2;89,5;23,7;830,4;848,0;869,0;799,0;848,0;0,942;0,919;-49,0;-70,0
8;August;102,8;9,8;6,6;77,0;27,0;14,0;123,0;113,0;118,0;119,2;118,0;1,2;949,6;966,0;992,0;912,0;966,0;0,944;0,919;-54,0;-80,0
9;September;102,9;11,4;8,2;79,5;31,5;15,0;132,0;122,0;126,0;122,5;126,0;-3,5;1072,1;1092,0;1124,0;1034,0;1092,0;0,947;0,92;-58,0;-90,0
10;Oktober;102,8;11,8;6,5;79,0;31,5;16,0;132,0;121,5;126,5;121,1;126,5;-5,4;1193,2;1218,5;1256,0;1155,5;1218,5;0,948;0,92;-63,0;-100,5
11;November;102,8;11,6;6,0;78,5;31,0;16,0;131,8;121,3;125,5;120,4;125,5;-5,1;1313,6;1344,0;1387,8;1276,8;1344,0;0,95;0,92;-67,2;-111,0
12;Desember;102,9;11,2;5,3;64,0;23,0;13,0;120,0;67,2;100,0;119,4;100,0;19,4;1433,0;1444,0;1507,8;1344,0;1444,0;0,931;0,891;-100,0;-163,8
