FraTabell;FraKolonne;TilTabell;TilKolonne;Kardinalitet;Kryssfiltrering;Status
DimDate;DatoNokkel;FactGL;DatoNokkel;1:*;Single;Active
DimOrganization;Organisasjonsnokkel;FactGL;Organisasjonsnokkel;1:*;Single;Active
DimAccount;Konto;FactGL;Konto;1:*;Single;Active
DimProject;Prosjekt;FactGL;Prosjekt;1:*;Single;Active
DimDate;DatoNokkel;FactBudget;DatoNokkel;1:*;Single;Active
DimOrganization;Organisasjonsnokkel;FactBudget;Organisasjonsnokkel;1:*;Single;Active
DimAccount;Konto;FactBudget;Konto;1:*;Single;Active
DimProject;Prosjekt;FactBudget;Prosjekt;1:*;Single;Active
DimDate;DatoNokkel;FactForecast;DatoNokkel;1:*;Single;Active
DimOrganization;Organisasjonsnokkel;FactForecast;Organisasjonsnokkel;1:*;Single;Active
DimAccount;Konto;FactForecast;Konto;1:*;Single;Active
DimProject;Prosjekt;FactForecast;Prosjekt;1:*;Single;Active
DimForecastVersion;Versjon;FactForecast;Versjon;1:*;Single;Active
DimDate;DatoNokkel;FactFTE;DatoNokkel;1:*;Single;Active
DimOrganization;Organisasjonsnokkel;FactFTE;Organisasjonsnokkel;1:*;Single;Active
DimDate;DatoNokkel;FactStudyPoints;DatoNokkel;1:*;Single;Active
DimOrganization;Organisasjonsnokkel;FactStudyPoints;Organisasjonsnokkel;1:*;Single;Active
DimPositionGroup;Stillingsgruppe;FactFTE;Stillingsgruppe;1:*;Single;Active
DimStudyProgram;Studieprogram;FactStudyPoints;Studieprogram;1:*;Single;Active
DimOrganization;Organisasjonsnokkel;FactAction;Organisasjonsnokkel;1:*;Single;Active
DimAccount;Konto;FactAction;Konto;1:*;Single;Active
DimProject;Prosjekt;FactAction;Prosjekt;1:*;Single;Active
